"submission_date","state","new_case","new_death"
"12/01/2021","ND",589,9
"09/08/2021","NV",1446,33
"02/02/2022","NE",3239,26
"02/11/2022","IL",0,0
"11/14/2021","VT",271,2
"11/26/2021","WA",983,0
"09/09/2021","WI",2095,32
"12/12/2021","CA",0,0
"09/07/2021","IN",3246,0
"11/16/2021","VT",171,1
"01/08/2022","ND",930,1
"11/25/2021","MD",1115,8
"02/14/2022","MS",4719,94
"10/24/2021","AL",295,14
"10/02/2021","NC",4797,52
"12/22/2021","NV",1165,15
"10/08/2021","ND",552,7
"10/23/2021","IL",0,0
"09/23/2021","WA",4089,61
"09/18/2021","NE",603,2
"12/08/2021","NC",3298,13
"09/23/2021","VI",32,0
"12/26/2021","AL",1954,12
"10/06/2021","NV",738,25
"02/15/2022","MD",924,40
"09/13/2021","WA",3144,21
"10/18/2021","NC",1368,44
"10/30/2021","MS",0,0
"09/13/2021","VT",103,1
"10/18/2021","MI",3115,13
"11/26/2021","VI",0,0
"09/14/2021","MO",2743,12
"10/18/2021","ND",923,10
"12/22/2021","ME",1114,4
"11/02/2021","GU",89,3
"10/28/2021","IN",2070,19
"12/01/2021","NC",3520,14
"01/28/2022","NE",0,0
"01/01/2022","MO",0,0
"09/09/2021","NC",7784,69
"09/10/2021","ME",574,2
"10/11/2021","NH",213,1
"11/20/2021","WI",0,0
"01/26/2022","MT",3090,3
"11/10/2021","MT",745,14
"11/17/2021","IN",3412,44
"01/16/2022","ME",0,0
"09/29/2021","MD",1125,9
"10/03/2021","NH",430,1
"12/30/2021","MS",4885,11
"09/29/2021","MI",4736,30
"09/27/2021","MD",960,7
"12/28/2021","ND",641,3
"11/05/2021","MS",514,7
"01/27/2022","WA",23097,67
"11/13/2021","NH",0,0
"10/18/2021","GU",163,3
"09/14/2021","CA",11851,97
"11/09/2021","CT",309,16
"01/05/2022","NV",3702,20
"11/21/2021","MD",1006,4
"02/04/2022","NV",2104,60
"10/11/2021","ND",951,10
"11/17/2021","WA",2173,27
"01/02/2022","CT",0,0
"10/15/2021","MS",256,2
"11/29/2021","MD",762,12
"09/20/2021","DE",439,0
"09/11/2021","NC",8116,81
"09/25/2021","NV",660,10
"11/23/2021","DE",251,3
"11/22/2021","WA",3890,29
"11/27/2021","WI",0,0
"02/07/2022","WA",15013,132
"09/06/2021","AL",2567,92
"12/13/2021","ND",671,14
"09/22/2021","ND",629,0
