Autauga,AL,30.92,31.7,57623,15768,15.2,10.74,51.41,60.4,457
Baldwin,AL,26.24,35.5,84935,16954,13.6,9.73,51.34,66.5,282
Barbour,AL,46.36,32.8,83656,15532,25,8.82,53.03,28.8,47
Blount,AL,32.92,34.5,61249,14820,15,9.67,51.15,62.4,185
Bullock,AL,67.67,31.7,75725,11120,33,7.08,50.76,17.6,141
Butler,AL,47.43,33.5,75887,12015,27.1,9.48,53.25,28.1,266
Calhoun,AL,38.44,32.7,76073,15162,18,11.95,51.66,190.8,560
Chambers,AL,45.36,34.8,40498,13887,18.8,10.52,52.77,62.1,218
Cherokee,AL,53.61,36.3,56386,13936,15.4,9.29,50.82,35.8,51
Chilton,AL,34.19,34,52230,14036,18.6,9.48,51.41,47.8,296
Choctaw,AL,52.13,32.9,81367,13423,25,9.94,52.54,17.6,29
Clarke,AL,42.87,31.7,87444,13750,24.4,8.79,52.18,22.4,105
Cleburne,AL,40.94,34.1,63458,14168,15.6,8.58,50.71,23.2,203
Coffee,AL,37.19,34.1,79268,17318,14.9,10.4,50.99,60.5,357
Colbert,AL,54.4,35.7,71629,15705,15.3,11.87,51.97,88,330
Conecuh,AL,50.02,34.5,49065,12876,27.4,8.9,52.67,16.6,171
Covington,AL,35.84,36.2,104307,13921,21.6,11.67,52.74,35.7,239
Crenshaw,AL,45.44,35.9,77907,13247,22.8,8.99,52.61,22.1,165
Cullman,AL,35.98,34.8,67879,15261,15.4,10.07,51.4,94.4,247
Dale,AL,32.29,29.1,43261,14569,17.2,10.15,49.65,88.9,201
Dallas,AL,56.38,31.1,68101,13574,34.2,10.31,54.38,48.9,794
De Kalb,AL,38.2,34.9,64579,14294,17.3,9.26,51.71,71.9,104
Elmore,AL,30.52,32.9,55540,14789,15.9,10.45,49.22,84.3,357
Escambia,AL,37.5,33.9,90379,13184,24.4,11.08,50.63,38,161
Etowah,AL,48.43,36,69920,15324,17.9,12.35,52.6,186.8,616
Fayette,AL,45.22,35.6,83058,13404,18.6,9.34,52.22,28.8,113
Franklin,AL,50.2,35.8,107673,14777,18.1,8.84,52.18,44.7,99
Geneva,AL,36.71,36.4,89634,15339,19.4,10.52,51.8,41.8,142
Greene,AL,79.18,31.3,27496,11165,38.8,6.01,54.17,15.8,416
Hale,AL,57.8,31.8,65003,11509,31.4,6.96,53.35,24.7,122
Henry,AL,43.15,35.4,99412,14658,19.1,9.33,52.73,27.8,183
Houston,AL,29.76,33.1,107388,17412,18,9.94,52.5,143.5,587
Jackson,AL,56.19,34.6,65230,15484,16.1,11.11,51.68,45.3,250
Jefferson,AL,42.12,34.1,131030,19892,18.6,12.71,53.24,589.7,740
Lauderdale,AL,47.21,34.7,90707,16058,13.9,11.24,52.23,122,283
Lawrence,AL,54.91,32,32426,13763,17.8,7.19,50.8,46.4,108
Lee,AL,38.8,26.2,72622,14458,18.5,8.1,50.18,146.8,609
Limestone,AL,37.45,32.8,43175,16384,14.6,8.31,50.09,99.8,189
Macon,AL,82.78,28.9,37611,11402,35.3,11.53,53.59,40.1,669
Madison,AL,36.14,31.9,69070,21029,12.9,10.5,50.74,310.9,722
Marengo,AL,50.09,32.5,98897,13908,28.4,9.44,52.76,23.8,387
Marion,AL,46.47,35.7,106725,13238,18,9.49,51.01,40.1,71
Marshall,AL,39.01,35.3,100160,15857,14.7,10.25,52.16,129.3,381
Mobile,AL,38.22,31.9,72077,15569,24.3,10.95,52.56,314.7,709
Monroe,AL,39.73,31.4,76753,13997,21.6,8.75,51.67,23.4,164
